0,CC00,Clear Coat 00,1K,0,1,0.0,Yes
1,HR1,Clear Coat BASF,2K,60,1,33.3,Yes
2,LR2,Low Gloss (worwag),2K,60,2,25.0,Yes
3,LR3,Clear Coat AXALTA,2K,40,2,41.0,Yes
4,LR4,BASF copia SMP,2K,60,2,25.0,Yes
5,LR5,Clear Coat AKZO,2K,40,2,32.0,Yes
6,HR,CC Worwag High Gloss,2K,60,2,26.0,Yes
7,CC07,Clear Coat 07,1K,0,0,0.0,No
8,CC08,Clear Coat 08,1K,0,0,0.0,No
9,CC09,Clear Coat 09,1K,0,0,0.0,No
10,CC10,Clear Coat 10,1K,0,0,0.0,No
